LoincNumber,LongCommonName
87092-3,Guidance for placement of venous filter in Inferior vena cava
87128-5,Guidance for placement of venous filter in Superior vena cava
87182-2,Guidance for placement of wire
87088-1,Guidance for puncture of Lumbar spine
88939-4,Guidance for radioembolization for tumor of Hepatic artery-- W Yttrium-90 IA
87176-4,Guidance for radiofrequency ablation of Bone
87177-2,Guidance for radiofrequency ablation of Chest Pleura
87058-4,Guidance for radiofrequency ablation of Kidney
87071-7,Guidance for radiofrequency ablation of Liver
87120-2,Guidance for radiofrequency ablation of Lung
87060-0,Guidance for removal of calculus from Biliary ducts
87082-4,Guidance for removal of catheter from Peritoneum
87107-9,Guidance for removal of CV catheter with port from Chest
87084-0,Guidance for removal of foreign body from Peritoneum
87063-4,Guidance for removal of GJ-tube from Gastrointestinal tract upper
87191-3,Guidance for removal of nephroureteral stent of Kidney and Ureter and Urinary bladder
87098-0,Guidance for removal of peritoneovenous shunt from Chest and Abdomen
87086-5,Guidance for removal of port from Peritoneum
88243-1,Guidance for removal of tunneled catheter from Chest Pleura
87114-5,Guidance for removal of tunneled CV catheter without port from Chest
87093-1,Guidance for removal of venous filter from Inferior vena cava
87126-9,Guidance for removal of venous filter from Superior vena cava
88940-2,Guidance for repair of aneurysm of Abdominal Aorta
88941-0,Guidance for repair of aneurysm of Thoracic Aorta
87108-7,Guidance for repair of CV catheter with port of Chest
88942-8,Guidance for repair of endoleak of Artery
87115-2,Guidance for repair of non-tunneled CV catheter without port of Chest
87083-2,Guidance for reposition of catheter in Peritoneum
87105-3,Guidance for reposition of CV catheter in Chest
87094-9,Guidance for reposition of venous filter in Inferior vena cava
87127-7,Guidance for reposition of venous filter in Superior vena cava
87197-0,Guidance for retrieval of foreign body of Vessel
87099-8,Guidance for revision of peritoneovenous shunt of Chest and Abdomen
87073-3,Guidance for revision of TIPS of Liver
87164-0,Guidance for secondary mechanical thrombectomy of Artery
87199-6,Guidance for substance removal of central venous catheter pericatheter obstruction
87185-5,Guidance for sympathectomy of Nerve
87110-3,Guidance for thoracentesis and insertion of tube of Chest
87111-1,Guidance for thoracentesis of Chest
87192-1,Guidance for thrombectomy
87167-3,Guidance for transcatheter biopsy
87168-1,Guidance for transcatheter placement of stent
87310-9,Guidance for transhepatic exchange of catheter of Biliary ducts
87309-1,Guidance for transhepatic placement of catheter of Biliary ducts
87308-3,Guidance for transhepatic removal of catheter of Biliary ducts
87074-1,Guidance for transhepatic revision of tube of Liver
87076-6,Guidance for transjugular biopsy and hemodynamic evaluation of Liver
87068-3,Guidance for transjugular biopsy and venography of Kidney
87077-4,Guidance for transjugular biopsy and venography of Liver
87067-5,Guidance for transjugular biopsy of Kidney
87075-8,Guidance for transjugular biopsy of Liver
87203-6,Guidance for transurethral exchange of nephroureteral stent of Kidney and Ureter and Urinary bladder
87189-7,Guidance for transurethral removal of nephroureteral stent of Kidney and Ureter and Urinary bladder
87201-0,Guidance for treatment of AV fistula
88943-6,Guidance for venous sampling of Adrenal vein
87202-8,Guidance for venous sampling of Vein
87091-5,Guidance for vertebroplasty of Lumbar spine
87124-4,Guidance for vertebroplasty of Thoracic spine
88349-6,Guidance-- during surgery
38090-7,MG Breast - bilateral Air gap Views
26346-7,MG Breast - bilateral Diagnostic
48475-8,MG Breast - bilateral Diagnostic for implant
26349-1,MG Breast - bilateral Diagnostic Limited Views
46351-3,MG Breast - bilateral Displacement Views for Implant
86416-5,MG Breast - bilateral Guidance for needle localization and Breast specimen Views
26287-3,MG Breast - bilateral Limited Views
37554-3,MG Breast - bilateral Magnification and Spot
37543-6,MG Breast - bilateral Magnification Views
37006-4,MG Breast - bilateral MLO
37016-3,MG Breast - bilateral Rolled Views
26175-0,MG Breast - bilateral Screening
48492-3,MG Breast - bilateral Screening for implant
46335-6,MG Breast - bilateral Single view
37552-7,MG Breast - bilateral Spot Views
37029-6,MG Breast - bilateral Tangential
37038-7,MG Breast - bilateral True lateral
36626-0,MG Breast - bilateral Views
38071-7,MG Breast - bilateral Views for implant
42415-0,MG Breast - bilateral Views Post Wire Placement
37052-8,MG Breast - bilateral XCCL
36642-7,MG Breast - left 2 Views
38091-5,MG Breast - left Air gap Views
26347-5,MG Breast - left Diagnostic
86368-8,MG Breast - left Diagnostic for clinical call back
69150-1,MG Breast - left Diagnostic for implant
26350-9,MG Breast - left Diagnostic Limited Views
86348-0,MG Breast - left Guidance for needle localization and Breast specimen Views
26289-9,MG Breast - left Limited Views
37005-6,MG Breast - left Magnification
38854-6,MG Breast - left Magnification and Spot
37017-1,MG Breast - left Rolled Views
26176-8,MG Breast - left Screening
46336-4,MG Breast - left Single view
37553-5,MG Breast - left Spot Views compression
37030-4,MG Breast - left Tangential
38855-3,MG Breast - left True lateral
36627-8,MG Breast - left Views
38072-5,MG Breast - left Views for implant
42416-8,MG Breast - left Views Post Wire Placement
37053-6,MG Breast - left XCCL
37768-9,MG Breast - right 2 Views
26348-3,MG Breast - right Diagnostic
86369-6,MG Breast - right Diagnostic for clinical call back
69259-0,MG Breast - right Diagnostic for implant
26351-7,MG Breast - right Diagnostic Limited Views
86360-5,MG Breast - right Guidance for needle localization and Breast specimen Views
26291-5,MG Breast - right Limited Views
37773-9,MG Breast - right Magnification
37769-7,MG Breast - right Magnification and Spot
37775-4,MG Breast - right Rolled Views
26177-6,MG Breast - right Screening
46337-2,MG Breast - right Single view
38807-4,MG Breast - right Spot Views
37770-5,MG Breast - right Tangential
37771-3,MG Breast - right True lateral
37774-7,MG Breast - right Views
38820-7,MG Breast - right Views for implant
37772-1,MG Breast - right XCCL
46350-5,MG Breast - unilateral Diagnostic
46356-2,MG Breast - unilateral Screening
46338-0,MG Breast - unilateral Single view
86350-6,MG Breast - unilateral Single view for clip placement
46339-8,MG Breast - unilateral Views
46380-2,MG Breast - unilateral Views for implant
36319-2,MG Breast 4 Views
36962-9,MG Breast Axillary
24605-8,MG Breast Diagnostic
86367-0,MG Breast Diagnostic for clinical call back
86370-4,MG Breast Diagnostic for technical call back
24604-1,MG Breast Diagnostic Limited Views
38095-6,MG Breast duct - bilateral Views W contrast intra duct
39146-6,MG Breast duct - bilateral Views W contrast intra multiple ducts
49510-1,MG Breast duct - left Single view W contrast intra duct
38096-4,MG Breast duct - left Views W contrast intra duct
39145-8,MG Breast duct - left Views W contrast intra multiple ducts
49509-3,MG Breast duct - right Single view W contrast intra duct
38825-6,MG Breast duct - right Views W contrast intra duct
39147-4,MG Breast duct - right Views W contrast intra multiple ducts
69268-1,MG Breast duct Single view W contrast intra duct
46352-1,MG Breast duct Views during surgery W contrast intra duct
39054-2,MG Breast duct Views W contrast intra duct
39148-2,MG Breast duct Views W contrast intra multiple ducts
37539-4,MG Breast Grid Views
24610-8,MG Breast Limited Views
37542-8,MG Breast Magnification Views
24606-6,MG Breast Screening
38079-0,MG Breast specimen - bilateral Views
38080-8,MG Breast specimen - left Views
38821-5,MG Breast specimen - right Views
24597-7,MG Breast specimen Views
37551-9,MG Breast Spot Views
37028-8,MG Breast Tangential
37037-9,MG Breast True lateral
36625-2,MG Breast Views
38070-9,MG Breast Views for implant
69251-7,MG Breast Views Post Wire Placement
42680-9,MG Breast XCCL
86351-4,MG Guidance for additional aspiration of cyst of Breast - left
86352-2,MG Guidance for additional aspiration of cyst of Breast - right
86355-5,MG Guidance for additional needle localization of Breast - left
86356-3,MG Guidance for additional needle localization of Breast - right
86363-9,MG Guidance for additional vacuum biopsy of Breast - left
86364-7,MG Guidance for additional vacuum biopsy of Breast - right
24594-4,MG Guidance for aspiration of cyst of Breast
26343-4,MG Guidance for aspiration of cyst of Breast - bilateral
26344-2,MG Guidance for aspiration of cyst of Breast - left
26345-9,MG Guidance for aspiration of cyst of Breast - right
24602-5,MG Guidance for biopsy of Breast
26337-6,MG Guidance for biopsy of Breast - bilateral
26338-4,MG Guidance for biopsy of Breast - left
26339-2,MG Guidance for biopsy of Breast - right
46387-7,MG Guidance for fine needle aspiration of Breast
46284-6,MG Guidance for fine needle aspiration of Breast - left
46283-8,MG Guidance for fine needle aspiration of Breast - right
24598-5,MG Guidance for fluid aspiration of Breast
48735-5,MG Guidance for localization of Breast
42296-4,MG Guidance for localization of Breast - left
42297-2,MG Guidance for localization of Breast - right
69068-5,MG Guidance for needle localization of Breast - bilateral
86357-1,MG Guidance for needle localization of Breast - left
86358-9,MG Guidance for needle localization of Breast - right
24595-1,MG Guidance for needle localization of mass of Breast
26315-2,MG Guidance for needle localization of mass of Breast - bilateral
26316-0,MG Guidance for needle localization of mass of Breast - left
26317-8,MG Guidance for needle localization of mass of Breast - right
24609-0,MG Guidance for percutaneous biopsy.core needle of Breast
26334-3,MG Guidance for percutaneous biopsy.core needle of Breast - bilateral
26335-0,MG Guidance for percutaneous biopsy.core needle of Breast - left
26336-8,MG Guidance for percutaneous biopsy.core needle of Breast - right
86353-0,MG Guidance for placement of clip in Breast - left
86354-8,MG Guidance for placement of clip in Breast - right
48740-5,MG Guidance for sentinel lymph node injection of Breast
48736-3,MG Guidance for sentinel lymph node injection of Breast - left
48739-7,MG Guidance for sentinel lymph node injection of Breast - right
86365-4,MG Guidance for vacuum biopsy of Breast - left
86366-2,MG Guidance for vacuum biopsy of Breast - right
86361-3,MG stereo Guidance for additional biopsy of Breast - left
86362-1,MG stereo Guidance for additional biopsy of Breast - right
24603-3,MG stereo Guidance for biopsy of Breast
26292-3,MG stereo Guidance for biopsy of Breast - bilateral
26293-1,MG stereo Guidance for biopsy of Breast - left
26294-9,MG stereo Guidance for biopsy of Breast - right
46296-0,MG stereo Guidance for percutaneous biopsy.core needle of Breast
46295-2,MG stereo Guidance for percutaneous biopsy.core needle of Breast - left
42433-3,MG stereo Guidance for percutaneous biopsy.core needle of Breast - right
24556-3,MR Abdomen
72246-2,MR Abdomen and Pelvis W contrast PO and WO and W contrast IV
72247-0,MR Abdomen and Pelvis W contrast PO and WO contrast IV
36134-5,MR Abdomen W contrast IV
24557-1,MR Abdomen WO and W contrast IV
30668-8,MR Abdomen WO contrast
35949-7,MR Abdominal Aorta
36273-1,MR Abdominal Aorta WO and W contrast IV
36496-8,MR Acromioclavicular Joint WO contrast
36931-4,MR Adrenal gland
44124-6,MR Adrenal gland W contrast IV
36951-2,MR Adrenal gland WO and W contrast IV
36954-6,MR Adrenal gland WO contrast
24538-1,MR Ankle
26208-9,MR Ankle - bilateral
69163-4,MR Ankle - bilateral W contrast IV
26187-5,MR Ankle - bilateral WO and W contrast IV
69164-2,MR Ankle - bilateral WO contrast
26209-7,MR Ankle - left
36116-2,MR Ankle - left Arthrogram
43555-2,MR Ankle - left dynamic W contrast IV
36138-6,MR Ankle - left W contrast IV
26188-3,MR Ankle - left WO and W contrast IV
36427-3,MR Ankle - left WO contrast
26210-5,MR Ankle - right
36117-0,MR Ankle - right Arthrogram
43449-8,MR Ankle - right dynamic W contrast IV
36140-2,MR Ankle - right W contrast IV
26189-1,MR Ankle - right WO and W contrast IV
36429-9,MR Ankle - right WO contrast
37222-7,MR Ankle and Foot
36115-4,MR Ankle Arthrogram
36136-0,MR Ankle W contrast IV
24539-9,MR Ankle WO and W contrast IV
30680-3,MR Ankle WO contrast
43508-1,MR Axilla - left
43504-0,MR Axilla - left W contrast IV
43509-9,MR Axilla - left WO and W contrast IV
43510-7,MR Axilla - right
43505-7,MR Axilla - right W contrast IV
43511-5,MR Axilla - right WO and W contrast IV
37219-3,MR Biliary ducts
37220-1,MR Biliary ducts and Pancreatic duct
44125-3,MR Biliary ducts and Pancreatic duct W contrast IV
36944-7,MR Biliary ducts and Pancreatic duct WO and W contrast IV
44123-8,MR Biliary ducts and Pancreatic duct WO contrast
39141-7,MR Bone marrow
80513-5,MR Bone marrow W contrast IV
80514-3,MR Bone marrow WO and W contrast IV
80512-7,MR Bone marrow WO contrast
24582-9,MR Brachial plexus
26211-3,MR Brachial plexus - bilateral
26190-9,MR Brachial plexus - bilateral WO and W contrast IV
26212-1,MR Brachial plexus - left
36240-0,MR Brachial plexus - left W contrast IV
26191-7,MR Brachial plexus - left WO and W contrast IV
38833-0,MR Brachial plexus - left WO contrast
26213-9,MR Brachial plexus - right
36241-8,MR Brachial plexus - right W contrast IV
26192-5,MR Brachial plexus - right WO and W contrast IV
36516-3,MR Brachial plexus - right WO contrast
36239-2,MR Brachial plexus W contrast IV
24583-7,MR Brachial plexus WO and W contrast IV
30654-8,MR Brachial plexus WO contrast
24590-2,MR Brain
82129-8,MR Brain and Face WO and W contrast IV
82128-0,MR Brain and Face WO contrast
43772-3,MR Brain and Internal auditory canal
37239-1,MR Brain and Internal auditory canal W contrast IV
43769-9,MR Brain and Internal auditory canal WO and W contrast IV
37278-9,MR Brain and Internal auditory canal WO contrast
37215-1,MR Brain and Larynx W contrast IV
37279-7,MR Brain and Larynx WO contrast
42385-5,MR Brain and Pituitary and Sella turcica
42391-3,MR Brain and Pituitary and Sella turcica W contrast IV
42392-1,MR Brain and Pituitary and Sella turcica WO and W contrast IV
42393-9,MR Brain and Pituitary and Sella turcica WO contrast
42386-3,MR Brain cine for CSF flow
80507-7,MR Brain for high grade tumor WO and W contrast IV
80506-9,MR Brain for low grade tumor WO and W contrast IV
80510-1,MR Brain for metastasis WO and W contrast IV
80505-1,MR Brain for new diagnosis tumor WO and W contrast IV
80511-9,MR Brain for postoperative
36096-6,MR Brain limited W contrast IV
36105-5,MR Brain limited WO contrast
37217-7,MR Brain stem and Cranial nerves
24586-0,MR Brain W anesthesia
24589-4,MR Brain W contrast IV
24587-8,MR Brain WO and W contrast IV
24588-6,MR Brain WO and W contrast IV and W anesthesia
30657-1,MR Brain WO contrast
30657-1,MR Brain WO contrast
37218-5,MR Brain.temporal
48444-4,MR Brain.temporal W contrast IV
48694-4,MR Brain.temporal WO and W contrast IV
48453-5,MR Brain.temporal WO contrast
30794-2,MR Breast
30795-9,MR Breast - bilateral
36114-7,MR Breast - bilateral dynamic W contrast IV
69165-9,MR Breast - bilateral for implant
69167-5,MR Breast - bilateral for implant W contrast IV
69166-7,MR Breast - bilateral for implant WO and W contrast IV
69168-3,MR Breast - bilateral for implant WO contrast
36150-1,MR Breast - bilateral W contrast IV
36277-2,MR Breast - bilateral WO and W contrast IV
36437-2,MR Breast - bilateral WO contrast
35954-7,MR Breast - left
38057-6,MR Breast - left for implant
38870-2,MR Breast - left for implant WO and W contrast IV
38064-2,MR Breast - left for implant WO contrast
36151-9,MR Breast - left W contrast IV
36278-0,MR Breast - left WO and W contrast IV
36438-0,MR Breast - left WO contrast
35955-4,MR Breast - right
38058-4,MR Breast - right for implant
38062-6,MR Breast - right for implant WO and W contrast IV
38817-3,MR Breast - right for implant WO contrast
36152-7,MR Breast - right W contrast IV
36279-8,MR Breast - right WO and W contrast IV
36439-8,MR Breast - right WO contrast
46299-4,MR Breast - unilateral
46323-2,MR Breast - unilateral W contrast IV
43528-9,MR Breast - unilateral WO and W contrast IV
46333-1,MR Breast - unilateral WO contrast
37437-1,MR Breast dynamic W contrast IV
69190-7,MR Breast for implant W contrast IV
69189-9,MR Breast for implant WO and W contrast IV
69191-5,MR Breast for implant WO contrast
36149-3,MR Breast W contrast IV
36276-4,MR Breast WO and W contrast IV
36436-4,MR Breast WO contrast
30655-5,MR Cerebral cisterns
42698-1,MR Cervical and thoracic and lumbar spine
30855-1,MR Cervical and thoracic and lumbar spine WO and W contrast IV
30854-4,MR Cervical and thoracic and lumbar spine WO contrast
43457-1,MR Cervical and thoracic spine
89284-4,MR Cervical and thoracic spine W contrast IV
43456-3,MR Cervical and thoracic spine WO and W contrast IV
24935-9,MR Cervical spine
24936-7,MR Cervical spine W anesthesia
48447-7,MR Cervical spine W contrast IT
24938-3,MR Cervical spine W contrast IV
42270-9,MR Cervical spine W flexion and W extension
48450-1,MR Cervical spine WO and W contrast IT
24937-5,MR Cervical spine WO and W contrast IV
30667-0,MR Cervical spine WO contrast
24629-8,MR Chest
36942-1,MR Chest and Abdomen W contrast IV
36284-8,MR Chest and Abdomen WO and W contrast IV
36156-8,MR Chest W contrast IV
36283-0,MR Chest WO and W contrast IV
36442-2,MR Chest WO contrast
35961-2,MR Clavicle
48457-6,MR Clavicle - left W contrast IV
48455-0,MR Clavicle - left WO and W contrast IV
48459-2,MR Clavicle - left WO contrast
48456-8,MR Clavicle - right W contrast IV
48454-3,MR Clavicle - right WO and W contrast IV
48458-4,MR Clavicle - right WO contrast
42694-0,MR Clavicle W contrast IV
42299-8,MR Clavicle WO and W contrast IV
42302-0,MR Clavicle WO contrast
24674-4,MR Elbow
26220-4,MR Elbow - bilateral
69170-9,MR Elbow - bilateral W contrast IV
26193-3,MR Elbow - bilateral WO and W contrast IV
69171-7,MR Elbow - bilateral WO contrast
26221-2,MR Elbow - left
36118-8,MR Elbow - left Arthrogram
43450-6,MR Elbow - left dynamic W contrast IV
36160-0,MR Elbow - left W contrast IV
26194-1,MR Elbow - left WO and W contrast IV
36446-3,MR Elbow - left WO contrast
26222-0,MR Elbow - right
36119-6,MR Elbow - right Arthrogram
43451-4,MR Elbow - right dynamic W contrast IV
36162-6,MR Elbow - right W contrast IV
26195-8,MR Elbow - right WO and W contrast IV
36448-9,MR Elbow - right WO contrast
46319-0,MR Elbow Arthrogram
36158-4,MR Elbow W contrast IV
24675-1,MR Elbow WO and W contrast IV
30796-7,MR Elbow WO contrast
42390-5,MR Endovaginal
69193-1,MR Extremity
35953-9,MR Face
82131-4,MR Face and Neck WO and W contrast IV
82130-6,MR Face and Neck WO contrast
36148-5,MR Face W contrast IV
24694-2,MR Face WO and W contrast IV
36435-6,MR Face WO contrast
69172-5,MR Femur - bilateral W contrast IV
69173-3,MR Femur - bilateral WO contrast
35990-1,MR Fetal
24705-6,MR Finger
26238-6,MR Finger - bilateral
26239-4,MR Finger - left
69205-3,MR Finger - left W contrast IV
69204-6,MR Finger - left WO and W contrast IV
69206-1,MR Finger - left WO contrast
26240-2,MR Finger - right
69215-2,MR Finger - right W contrast IV
69214-5,MR Finger - right WO and W contrast IV
69216-0,MR Finger - right WO contrast
69195-6,MR Finger W contrast IV
69194-9,MR Finger WO and W contrast IV
69196-4,MR Finger WO contrast
24707-2,MR Foot
26241-0,MR Foot - bilateral
36180-8,MR Foot - bilateral W contrast IV
36342-4,MR Foot - bilateral WO and W contrast IV
36467-9,MR Foot - bilateral WO contrast
26242-8,MR Foot - left
36182-4,MR Foot - left W contrast IV
36344-0,MR Foot - left WO and W contrast IV
36469-5,MR Foot - left WO contrast
26243-6,MR Foot - right
36184-0,MR Foot - right W contrast IV
36346-5,MR Foot - right WO and W contrast IV
36471-1,MR Foot - right WO contrast
36179-0,MR Foot W contrast IV
30682-9,MR Foot WO and W contrast IV
30681-1,MR Foot WO contrast
24710-6,MR Forearm
26244-4,MR Forearm - bilateral
69175-8,MR Forearm - bilateral W contrast IV
69174-1,MR Forearm - bilateral WO and W contrast IV
69176-6,MR Forearm - bilateral WO contrast
26245-1,MR Forearm - left
36188-1,MR Forearm - left W contrast IV
36349-9,MR Forearm - left WO and W contrast IV
36474-5,MR Forearm - left WO contrast
26246-9,MR Forearm - right
36190-7,MR Forearm - right W contrast IV
36351-5,MR Forearm - right WO and W contrast IV
36476-0,MR Forearm - right WO contrast
36186-5,MR Forearm W contrast IV
30684-5,MR Forearm WO and W contrast IV
30683-7,MR Forearm WO contrast
69192-3,MR Guidance for aspiration of cyst of Breast
69169-1,MR Guidance for biopsy of Breast - bilateral
69203-8,MR Guidance for biopsy of Breast - left
69213-7,MR Guidance for biopsy of Breast - right
69200-4,MR Guidance for biopsy of Chest Pleura
69197-2,MR Guidance for biopsy of Liver
69198-0,MR Guidance for biopsy of Muscle
69199-8,MR Guidance for biopsy of Pancreas
69201-2,MR Guidance for biopsy of Salivary gland
69202-0,MR Guidance for biopsy of Thyroid gland
80504-4,MR Guidance for biopsy of Unspecified body region
80498-9,MR Guidance for needle localization of Breast - left
80497-1,MR Guidance for needle localization of Breast - right
39028-6,MR Guidance for needle localization of Unspecified body region
80509-3,MR Guidance for placement of clip in Unspecified body region
82123-1,MR Guidance for radiation treatment of Unspecified body region
30664-7,MR Guidance for radiation treatment of Unspecified body region-- W contrast IV
30665-4,MR Guidance for radiation treatment of Unspecified body region-- WO contrast
36936-3,MR Guidance for stereotactic biopsy of Brain
30656-3,MR Guidance for stereotactic localization of Brain-- W contrast IV
44122-0,MR Guidance for stereotactic localization of Brain-- WO and W contrast IV
30800-7,MR Guidance for stereotactic localization of Brain-- WO contrast
24720-5,MR Hand
26247-7,MR Hand - bilateral
69178-2,MR Hand - bilateral W contrast IV
69177-4,MR Hand - bilateral WO and W contrast IV
69179-0,MR Hand - bilateral WO contrast
26248-5,MR Hand - left
36194-9,MR Hand - left W contrast IV
36354-9,MR Hand - left WO and W contrast IV
36479-4,MR Hand - left WO contrast
26249-3,MR Hand - right
36196-4,MR Hand - right W contrast IV
36356-4,MR Hand - right WO and W contrast IV
36481-0,MR Hand - right WO contrast
36192-3,MR Hand W contrast IV
30686-0,MR Hand WO and W contrast IV
30685-2,MR Hand WO contrast
24748-6,MR Heart
39140-9,MR Heart cine for blood flow velocity mapping
44126-1,MR Heart cine for blood flow velocity mapping W contrast IV
37434-8,MR Heart cine for function
36091-7,MR Heart limited
44127-9,MR Heart limited cine for function
36197-2,MR Heart W contrast IV
58750-1,MR Heart W stress
58749-3,MR Heart W stress and WO and W contrast IV
80500-2,MR Heart W stress and WO contrast
36357-2,MR Heart WO and W contrast IV
36482-8,MR Heart WO contrast
36013-1,MR Hip
36017-2,MR Hip - bilateral
36202-0,MR Hip - bilateral W contrast IV
36361-4,MR Hip - bilateral WO and W contrast IV
36486-9,MR Hip - bilateral WO contrast
36020-6,MR Hip - left
36121-2,MR Hip - left Arthrogram
69207-9,MR Hip - left Arthrogram WO and W contrast
36204-6,MR Hip - left W contrast IV
36363-0,MR Hip - left WO and W contrast IV
36488-5,MR Hip - left WO contrast
36022-2,MR Hip - right
36122-0,MR Hip - right Arthrogram
69217-8,MR Hip - right Arthrogram WO and W contrast
36206-1,MR Hip - right W contrast IV
36365-5,MR Hip - right WO and W contrast IV
36490-1,MR Hip - right WO contrast
36120-4,MR Hip Arthrogram
36199-8,MR Hip W contrast IV
30688-6,MR Hip WO and W contrast IV
30687-8,MR Hip WO contrast
36083-4,MR Inferior vena cava
36418-2,MR Inferior vena cava WO and W contrast IV
36545-2,MR Inferior vena cava WO contrast
35956-2,MR Internal auditory canal
24735-3,MR Internal auditory canal and Posterior fossa
24740-3,MR Internal auditory canal and Posterior fossa WO and W contrast IV
36088-3,MR Internal auditory canal limited
36155-0,MR Internal auditory canal W contrast IV
30659-7,MR Internal auditory canal WO and W contrast IV
30658-9,MR Internal auditory canal WO contrast
28576-7,MR Joint
36812-6,MR Joint Arthrogram
36871-2,MR Joint WO contrast
36033-9,MR Kidney
36034-7,MR Kidney - bilateral
36219-4,MR Kidney - bilateral W contrast IV
36378-8,MR Kidney - bilateral WO and W contrast IV
36504-9,MR Kidney - bilateral WO contrast
36035-4,MR Kidney - left
36220-2,MR Kidney - left W contrast IV
36036-2,MR Kidney - right
36221-0,MR Kidney - right W contrast IV
36113-9,MR Kidney W contrast IV
43775-6,MR Kidney WO and W contrast IV
43773-1,MR Kidney WO contrast
24802-1,MR Knee
26256-8,MR Knee - bilateral
36224-4,MR Knee - bilateral W contrast IV
26199-0,MR Knee - bilateral WO and W contrast IV
36506-4,MR Knee - bilateral WO contrast
26257-6,MR Knee - left
36126-1,MR Knee - left Arthrogram
43452-2,MR Knee - left dynamic W contrast IV
36226-9,MR Knee - left W contrast IV
26200-6,MR Knee - left WO and W contrast IV
36508-0,MR Knee - left WO contrast
26258-4,MR Knee - right
36127-9,MR Knee - right Arthrogram
43453-0,MR Knee - right dynamic W contrast IV
36228-5,MR Knee - right W contrast IV
26201-4,MR Knee - right WO and W contrast IV
36510-6,MR Knee - right WO contrast
36125-3,MR Knee Arthrogram
36223-6,MR Knee W contrast IV
24803-9,MR Knee WO and W contrast IV
30691-0,MR Knee WO contrast
36045-3,MR Larynx
36230-1,MR Larynx W contrast IV
36382-0,MR Larynx WO and W contrast IV
48445-1,MR Larynx WO contrast
36046-1,MR Liver
36231-9,MR Liver W contrast IV
30670-4,MR Liver WO and W contrast IV
43448-0,MR Liver WO and W ferumoxides IV
30669-6,MR Liver WO contrast
30692-8,MR Lower extremity
35975-2,MR Lower extremity - bilateral
36163-4,MR Lower extremity - bilateral W contrast IV
36289-7,MR Lower extremity - bilateral WO and W contrast IV
36451-3,MR Lower extremity - bilateral WO contrast
35978-6,MR Lower extremity - left
36165-9,MR Lower extremity - left W contrast IV
36291-3,MR Lower extremity - left WO and W contrast IV
36453-9,MR Lower extremity - left WO contrast
35980-2,MR Lower extremity - right
36167-5,MR Lower extremity - right W contrast IV
36333-3,MR Lower extremity - right WO and W contrast IV
36455-4,MR Lower extremity - right WO contrast
24687-6,MR Lower Extremity Joint
26227-9,MR Lower extremity joint - bilateral
26228-7,MR Lower extremity joint - left
36107-1,MR Lower extremity joint - left limited WO contrast
36214-5,MR Lower extremity joint - left W contrast IV
36372-1,MR Lower extremity joint - left WO and W contrast IV
36498-4,MR Lower extremity joint - left WO contrast
26229-5,MR Lower extremity joint - right
38769-6,MR Lower extremity joint - right limited WO contrast
36215-2,MR Lower extremity joint - right W contrast IV
36373-9,MR Lower extremity joint - right WO and W contrast IV
36499-2,MR Lower extremity joint - right WO contrast
69210-3,MR Lower Extremity Joint Arthrogram
36093-3,MR Lower Extremity Joint limited
36213-7,MR Lower Extremity Joint W contrast IV
36371-3,MR Lower Extremity Joint WO and W contrast IV
36497-6,MR Lower Extremity Joint WO contrast
39293-6,MR Lower extremity W contrast IV
39291-0,MR Lower extremity WO and W contrast IV
39292-8,MR Lower extremity WO contrast
24821-1,MR Lower leg
42696-5,MR Lower leg - bilateral
42695-7,MR Lower leg - bilateral W contrast IV
42697-3,MR Lower leg - bilateral WO and W contrast IV
69185-7,MR Lower leg - bilateral WO contrast
36075-0,MR Lower leg - left
36261-6,MR Lower leg - left W contrast IV
36410-9,MR Lower leg - left WO and W contrast IV
36539-5,MR Lower leg - left WO contrast
36076-8,MR Lower leg - right
36263-2,MR Lower leg - right W contrast IV
36412-5,MR Lower leg - right WO and W contrast IV
36541-1,MR Lower leg - right WO contrast
36259-0,MR Lower leg W contrast IV
30870-0,MR Lower leg WO and W contrast IV
30869-2,MR Lower leg WO contrast
24968-0,MR Lumbar spine
36100-6,MR Lumbar spine limited W contrast IV
36111-3,MR Lumbar spine limited WO contrast
24977-1,MR Lumbar spine W anesthesia
48436-0,MR Lumbar spine W contrast IT
30678-7,MR Lumbar spine W contrast IV
48452-7,MR Lumbar spine WO and W contrast IT
24967-2,MR Lumbar spine WO and W contrast IV
30679-5,MR Lumbar spine WO contrast
30866-8,MR Lumbosacral plexus
37234-2,MR Mediastinum
37272-2,MR Mediastinum WO and W contrast IV
80495-5,MR Mediastinum WO contrast
69211-1,MR Nasal bones
30860-1,MR Nasopharynx
36233-5,MR Nasopharynx W contrast IV
36384-6,MR Nasopharynx WO and W contrast IV
36513-0,MR Nasopharynx WO contrast
24839-3,MR Neck
48461-8,MR Neck limited
24841-9,MR Neck W contrast IV
24840-1,MR Neck WO and W contrast IV
30660-5,MR Neck WO contrast
30857-7,MR Nerves cranial
36777-1,MR Orbit
24852-6,MR Orbit - bilateral W contrast IV
24851-8,MR Orbit - bilateral WO and W contrast IV
30661-3,MR Orbit - bilateral WO contrast
38836-3,MR Orbit - left
36821-7,MR Orbit - left W contrast IV
36843-1,MR Orbit - left WO and W contrast IV
36873-8,MR Orbit - left WO contrast
36778-9,MR Orbit - right
36822-5,MR Orbit - right W contrast IV
36844-9,MR Orbit - right WO and W contrast IV
36874-6,MR Orbit - right WO contrast
