LoincNumber,LongCommonName
69111-3,CT Extremity - right WO contrast
36090-9,CT Extremity limited
24691-8,CT Extremity W contrast IV
42268-3,CT Extremity WO and W contrast IV
42278-2,CT Extremity WO contrast
82132-2,CT Face and Neck WO and W contrast IV
82133-0,CT Face and Neck WO contrast
24696-7,CT Facial bones
24697-5,CT Facial bones W contrast IV
72249-6,CT Facial bones WO contrast
89850-2,CT Finger - left WO contrast
89849-4,CT Finger - right WO contrast
87886-8,CT Finger fifth - left WO contrast
87890-0,CT Finger fifth - right WO contrast
87887-6,CT Finger fourth - left W contrast IV
87891-8,CT Finger fourth - right WO contrast
87888-4,CT Finger second - left WO contrast
87892-6,CT Finger second - right WO contrast
87893-4,CT Finger third - right WO contrast
87895-9,CT Finger WO contrast
35991-9,CT Foot
35993-5,CT Foot - bilateral
86973-5,CT Foot - bilateral W contrast IV
86967-7,CT Foot - bilateral WO contrast
35994-3,CT Foot - left
36181-6,CT Foot - left W contrast IV
36343-2,CT Foot - left WO and W contrast IV
36468-7,CT Foot - left WO contrast
35996-8,CT Foot - right
36183-2,CT Foot - right W contrast IV
36345-7,CT Foot - right WO and W contrast IV
36470-3,CT Foot - right WO contrast
36178-2,CT Foot W contrast IV
36341-6,CT Foot WO and W contrast IV
36466-1,CT Foot WO contrast
83289-9,CT for calcium scoring WO contrast and CTA W contrast IV Heart and coronary arteries
35997-6,CT Forearm
35998-4,CT Forearm - bilateral
35999-2,CT Forearm - left
36187-3,CT Forearm - left W contrast IV
36348-1,CT Forearm - left WO and W contrast IV
36473-7,CT Forearm - left WO contrast
36000-8,CT Forearm - right
36189-9,CT Forearm - right W contrast IV
36350-7,CT Forearm - right WO and W contrast IV
36475-2,CT Forearm - right WO contrast
36185-7,CT Forearm W contrast IV
36347-3,CT Forearm WO and W contrast IV
36472-9,CT Forearm WO contrast
89711-6,CT Guidance for 1 level injection of Spine facet joint
89710-8,CT Guidance for 2 levels injection of Spine facet joint
46365-3,CT Guidance for ablation of tissue of Celiac plexus
44228-5,CT Guidance for ablation of tissue of Kidney
89606-8,CT Guidance for ablation of tissue of Kidney - left
89605-0,CT Guidance for ablation of tissue of Kidney - right
44101-4,CT Guidance for ablation of tissue of Liver
58747-7,CT Guidance for ablation of tissue of Unspecified body region
36926-4,CT Guidance for aspiration and placement of drainage tube of Abdomen
37210-2,CT Guidance for aspiration of cyst of Abdomen
89628-2,CT Guidance for aspiration of cyst of Ileum - left
89627-4,CT Guidance for aspiration of cyst of Ileum - right
89625-8,CT Guidance for aspiration of cyst of Kidney
89604-3,CT Guidance for aspiration of cyst of Kidney - bilateral
89602-7,CT Guidance for aspiration of cyst of Kidney - left
89603-5,CT Guidance for aspiration of cyst of Kidney - right
89617-5,CT Guidance for aspiration of cyst of Kidney-- W contrast IV
89618-3,CT Guidance for aspiration of cyst of Kidney-- WO contrast
89629-0,CT Guidance for aspiration of cyst of Lung - left
89630-8,CT Guidance for aspiration of cyst of Lung - right
89616-7,CT Guidance for aspiration of cyst of Pancreas-- WO contrast
35887-9,CT Guidance for aspiration of cyst of Unspecified body region
25042-3,CT Guidance for aspiration or biopsy of Unspecified body region
25041-5,CT Guidance for aspiration or biopsy of Unspecified body region-- W contrast IV
46281-2,CT Guidance for aspiration or injection of cyst of Unspecified body region
30601-9,CT Guidance for biopsy of Abdomen
89620-9,CT Guidance for biopsy of Abdomen-- W contrast IV
69083-4,CT Guidance for biopsy of Abdomen-- WO contrast
36767-2,CT Guidance for biopsy of Adrenal gland
37211-0,CT Guidance for biopsy of Bone marrow
35893-7,CT Guidance for biopsy of Breast
35904-2,CT Guidance for biopsy of Cervical spine
35895-2,CT Guidance for biopsy of Chest
37492-6,CT Guidance for biopsy of Chest Pleura
35909-1,CT Guidance for biopsy of Chest-- W contrast IV
35910-9,CT Guidance for biopsy of Chest-- WO and W contrast IV
35911-7,CT Guidance for biopsy of Chest-- WO contrast
37212-8,CT Guidance for biopsy of Epididymis
35892-9,CT Guidance for biopsy of Head
42136-2,CT Guidance for biopsy of Heart
42279-0,CT Guidance for biopsy of Kidney
30607-6,CT Guidance for biopsy of Kidney - bilateral
88325-6,CT Guidance for biopsy of Kidney - left
88323-1,CT Guidance for biopsy of Kidney - right
89621-7,CT Guidance for biopsy of Kidney-- W contrast IV
89614-2,CT Guidance for biopsy of Kidney-- WO contrast
24812-0,CT Guidance for biopsy of Liver
69092-5,CT Guidance for biopsy of Liver-- WO contrast
35896-0,CT Guidance for biopsy of Lower extremity
35905-9,CT Guidance for biopsy of Lumbar spine
24823-7,CT Guidance for biopsy of Lung
88324-9,CT Guidance for biopsy of Lung - left
88526-9,CT Guidance for biopsy of Lung - right
35901-8,CT Guidance for biopsy of Lymph node
36927-2,CT Guidance for biopsy of Maxillofacial region
37213-6,CT Guidance for biopsy of Mediastinum
24838-5,CT Guidance for biopsy of Neck
82681-8,CT Guidance for biopsy of Oral tissue
30604-3,CT Guidance for biopsy of Pancreas
89619-1,CT Guidance for biopsy of Pancreas-- W contrast IV
24864-1,CT Guidance for biopsy of Pelvis
69093-3,CT Guidance for biopsy of Pelvis-- W contrast IV
69094-1,CT Guidance for biopsy of Pelvis-- WO contrast
89858-5,CT Guidance for biopsy of Pleura - left
89857-7,CT Guidance for biopsy of Pleura - right
35903-4,CT Guidance for biopsy of Prostate
44117-0,CT Guidance for biopsy of Retroperitoneum
89830-4,CT Guidance for biopsy of Retroperitoneum-- W contrast IV
89829-6,CT Guidance for biopsy of Retroperitoneum-- WO contrast
35898-6,CT Guidance for biopsy of Salivary gland
89959-1,CT Guidance for biopsy of Soft tissue
88316-5,CT Guidance for biopsy of Spinal cord
24986-2,CT Guidance for biopsy of Spine
30609-2,CT Guidance for biopsy of Spleen
89839-5,CT Guidance for biopsy of Sternum
35906-7,CT Guidance for biopsy of Thoracic spine
35908-3,CT Guidance for biopsy of Thyroid gland
25044-9,CT Guidance for biopsy of Unspecified body region
42260-0,CT Guidance for biopsy of Unspecified body region-- W contrast IV
46289-5,CT Guidance for biopsy of Unspecified body region-- WO and W contrast IV
46290-3,CT Guidance for biopsy of Unspecified body region-- WO contrast
35897-8,CT Guidance for biopsy of Upper extremity
24813-8,CT Guidance for core needle biopsy of Liver
89958-3,CT Guidance for cryoablation of Pelvis
43567-7,CT Guidance for deep biopsy of Bone
44109-7,CT Guidance for deep biopsy of Muscle
90315-3,CT Guidance for deep biopsy of Soft tissue
89832-0,CT Guidance for deep biopsy of Tissue
89932-8,CT Guidance for deep placement of needle of Unspecified body region
35913-3,CT Guidance for drainage of Abdomen
89615-9,CT Guidance for drainage of Abdomen-- W contrast IV
89613-4,CT Guidance for drainage of Abdomen-- WO contrast
35884-6,CT Guidance for drainage of abscess of Abdomen
42280-8,CT Guidance for drainage of abscess of Appendix
42281-6,CT Guidance for drainage of abscess of Chest
42285-7,CT Guidance for drainage of abscess of Kidney
89961-7,CT Guidance for drainage of abscess of Kidney - left
89960-9,CT Guidance for drainage of abscess of Kidney - right
42282-4,CT Guidance for drainage of abscess of Liver
89720-7,CT Guidance for drainage of abscess of Lung - left
89719-9,CT Guidance for drainage of abscess of Lung - right
42286-5,CT Guidance for drainage of abscess of Pelvis
89854-4,CT Guidance for drainage of abscess of Perirenal space - left
89855-1,CT Guidance for drainage of abscess of Perirenal space - right
89624-1,CT Guidance for drainage of abscess of Peritoneal space
42284-0,CT Guidance for drainage of abscess of Pleural space
75746-8,CT Guidance for drainage of abscess of Pleural space - bilateral
75752-6,CT Guidance for drainage of abscess of Pleural space - left
75818-5,CT Guidance for drainage of abscess of Pleural space - right
89721-5,CT Guidance for drainage of abscess of Retroperitoneum
43502-4,CT Guidance for drainage of abscess of Subphrenic space
30578-9,CT Guidance for drainage of abscess of Unspecified body region
35914-1,CT Guidance for drainage of Anus
35915-8,CT Guidance for drainage of Appendix
36770-6,CT Guidance for drainage of Biliary ducts and Gallbladder
35916-6,CT Guidance for drainage of Chest
35923-2,CT Guidance for drainage of Chest-- W contrast IV
35924-0,CT Guidance for drainage of Chest-- WO contrast
35917-4,CT Guidance for drainage of Gallbladder
35918-2,CT Guidance for drainage of Kidney
35919-0,CT Guidance for drainage of Liver
90317-9,CT Guidance for drainage of Lower extremity - left
90318-7,CT Guidance for drainage of Lower extremity - right
90319-5,CT Guidance for drainage of Lung - left
90309-6,CT Guidance for drainage of Lung - right
35920-8,CT Guidance for drainage of Lymph node
42283-2,CT Guidance for drainage of Pancreas
35921-6,CT Guidance for drainage of Pelvis
89696-9,CT Guidance for drainage of Pelvis-- W contrast IV
89695-1,CT Guidance for drainage of Pelvis-- WO contrast
89931-0,CT Guidance for drainage of Perirectal region
89623-3,CT Guidance for drainage of Peritoneal space
90313-8,CT Guidance for drainage of Pleural space - left
89697-7,CT Guidance for drainage of pseudocyst of Pancreas
42287-3,CT Guidance for drainage of Retroperitoneum
90314-6,CT Guidance for drainage of Retroperitoneum-- W contrast IV
90310-4,CT Guidance for drainage of Retroperitoneum-- WO contrast
89831-2,CT Guidance for drainage of Subphrenic space
35922-4,CT Guidance for drainage of Unspecified body region
46292-9,CT Guidance for drainage of Unspecified body region-- W contrast IV
46291-1,CT Guidance for drainage of Unspecified body region-- WO and W contrast IV
46293-7,CT Guidance for drainage of Unspecified body region-- WO contrast
36769-8,CT Guidance for exchange of nephrostomy tube of Kidney
30602-7,CT Guidance for fine needle aspiration of Abdomen
44108-9,CT Guidance for fine needle aspiration of Adrenal gland
43757-4,CT Guidance for fine needle aspiration of Kidney
30608-4,CT Guidance for fine needle aspiration of Kidney - bilateral
30603-5,CT Guidance for fine needle aspiration of Liver
30595-3,CT Guidance for fine needle aspiration of Lung
44103-0,CT Guidance for fine needle aspiration of Lymph node
44104-8,CT Guidance for fine needle aspiration of Mediastinum
44105-5,CT Guidance for fine needle aspiration of Muscle
30605-0,CT Guidance for fine needle aspiration of Pancreas
30606-8,CT Guidance for fine needle aspiration of Pelvis
44107-1,CT Guidance for fine needle aspiration of Retroperitoneum
30610-0,CT Guidance for fine needle aspiration of Spleen
30580-5,CT Guidance for fine needle aspiration of Unspecified body region
35886-1,CT Guidance for fluid aspiration of Breast
75748-4,CT Guidance for fluid aspiration of Cervical spine Intervertebral disc
88317-3,CT Guidance for fluid aspiration of Chest
89955-9,CT Guidance for fluid aspiration of Hip - bilateral
89956-7,CT Guidance for fluid aspiration of Hip - left
89957-5,CT Guidance for fluid aspiration of Hip - right
89929-4,CT Guidance for fluid aspiration of Intervertebral disc
82676-8,CT Guidance for fluid aspiration of Knee - left
82715-4,CT Guidance for fluid aspiration of Knee - right
24811-2,CT Guidance for fluid aspiration of Liver
89928-6,CT Guidance for fluid aspiration of Lumbar spine Intervertebral disc
24822-9,CT Guidance for fluid aspiration of Lung
89608-4,CT Guidance for fluid aspiration of Lung - left
89607-6,CT Guidance for fluid aspiration of Lung - right
24837-7,CT Guidance for fluid aspiration of Neck
24856-7,CT Guidance for fluid aspiration of Pancreas
24863-3,CT Guidance for fluid aspiration of Pelvis
89609-2,CT Guidance for fluid aspiration of Pericardial space
89622-5,CT Guidance for fluid aspiration of Peritoneal space
37491-8,CT Guidance for fluid aspiration of Pleural space
89612-6,CT Guidance for fluid aspiration of Pleural space - left
89611-8,CT Guidance for fluid aspiration of Pleural space - right
