         3094082 function calls (3033718 primitive calls) in 4.473 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 dyld.py:75(dyld_override_search)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 eventstream.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbol.py:442(Dummy)
        2    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filters.py:381(FilterColumn)
        5    0.000    0.000    0.000    0.000 datapipe.py:275(register_datapipe_as_function)
       10    0.000    0.000    0.001    0.000 extras.py:251(__init__)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        9    0.000    0.000    0.000    0.000 ctk_base_class.py:59(GeometryCallDict)
        1    0.000    0.000    0.000    0.000 _coo.py:24(_coo_base)
        1    0.000    0.000    0.000    0.000 octave.py:1(<module>)
        1    0.000    0.000    0.000    0.000 regnet.py:417(RegNet_Y_400MF_Weights)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:78(GifImageFile)
        4    0.000    0.000    0.000    0.000 utils.py:1441(instance_cache)
        1    0.000    0.000    0.000    0.000 cell_style.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interpreter.py:396(Transformer)
       10    0.000    0.000    0.000    0.000 utils.py:462(__init__)
       19    0.000    0.000    0.000    0.000 representer.py:65(add_representer)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
        1    0.000    0.000    0.000    0.000 axis.py:307(DateAxis)
        1    0.000    0.000    0.000    0.000 recording.py:324(FakeTensorMeta)
        3    0.000    0.000    0.000    0.000 ctk_label.py:151(_create_grid)
        1    0.000    0.000    0.000    0.000 model.py:1081(NativeFunctionsGroup)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _internal.py:837(_track_handler)
        1    0.000    0.000    0.000    0.000 widerface.py:1(<module>)
        1    0.000    0.000    0.000    0.000 handlers.py:737(SysLogHandler)
        9    0.000    0.000    0.000    0.000 infer_schema.py:87(derived_seq_types)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_toplevel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 external.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dimse_primitives.py:747(C_GET)
        1    0.000    0.000    0.000    0.000 connection.py:114(_has_ipv6)
        1    0.000    0.000    0.000    0.000 _psosx.py:147(per_cpu_times)
       11    0.000    0.000    0.000    0.000 optimizer.py:69(_use_grad_for_differentiable)
        1    0.000    0.000    0.000    0.000 functional_modules.py:141(QFunctional)
        1    0.000    0.000    0.000    0.000 gaussiandomains.py:498(GaussianRationalField)
        1    0.000    0.000    0.000    0.000 stringpict.py:22(stringPict)
        9    0.000    0.000    0.001    0.000 __init__.py:2765(__init__)
        4    0.000    0.000    0.000    0.000 _ops.py:21(dl_open_guard)
        2    0.000    0.000    0.000    0.000 __init__.py:2188(_make_copy_from_view)
        1    0.000    0.000    0.000    0.000 mobilenetv3.py:296(MobileNet_V3_Large_Weights)
        1    0.000    0.000    0.006    0.006 manage_plugins.py:71(_load_preferred_plugins)
        1    0.000    0.000    0.000    0.000 googlenet.py:29(GoogLeNet)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        1    0.000    0.000    0.000    0.000 scaling_base_class.py:1(<module>)
        1    0.000    0.000    0.000    0.000 header_footer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fill.py:126(GradientStop)
        1    0.000    0.000    0.000    0.000 von_mises.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        1    0.000    0.000    2.211    2.211 ctk_tk.py:154(mainloop)
        1    0.000    0.000    0.000    0.000 spreadsheet_drawing.py:236(SpreadsheetDrawing)
        6    0.000    0.000    0.000    0.000 symbolic_opset9.py:1676(_adaptive_pool)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic_convert.py:2323(InstructionTranslator)
       15    0.000    0.000    0.000    0.000 __init__.py:269(__hash__)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        7    0.000    0.000    0.000    0.000 ctk_font.py:60(create_scaled_tuple)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 _dill.py:346(Pickler)
        1    0.000    0.000    0.000    0.000 __init__.py:2762(Canvas)
        1    0.000    0.000    0.000    0.000 _write_only.py:16(WriteOnlyWorksheet)
        1    0.000    0.000    0.000    0.000 _special_matrices.py:1(<module>)
        1    0.000    0.000    0.000    0.000 radar_chart.py:22(RadarChart)
        3    0.000    0.000    0.000    0.000 Image.py:571(_new)
        1    0.000    0.000    0.000    0.000 multivariate_normal.py:85(MultivariateNormal)
        1    0.000    0.000    0.000    0.000 misc.py:125(Conv2dNormActivation)
        1    0.000    0.000    0.000    0.000 julia.py:48(JuliaCodePrinter)
        1    0.000    0.000    0.000    0.000 reference.py:27(Reference)
       24    0.000    0.000    0.000    0.000 calculus.py:4(defun)
        1    0.000    0.000    0.000    0.000 properties.py:44(WorksheetProperties)
        1    0.000    0.000    0.000    0.000 dimse_primitives.py:416(C_STORE)
        1    0.000    0.000    0.000    0.000 flickr.py:112(Flickr30k)
        1    0.000    0.000    0.000    0.000 numbers.py:1739(Integer)
        1    0.000    0.000    0.000    0.000 complexfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anchor_utils.py:136(DefaultBoxGenerator)
        1    0.000    0.000    0.000    0.000 queues.py:21(Queue)
        1    0.000    0.000    0.000    0.000 pdu.py:350(A_ASSOCIATE_RQ)
        1    0.000    0.000    0.000    0.000 backend_registry.py:57(register_backend)
        1    0.000    0.000    0.000    0.000 negative_binomial.py:16(NegativeBinomial)
        1    0.000    0.000    0.000    0.000 refine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:25(__init__)
        1    0.000    0.000    0.000    0.000 dashboard.py:1(<module>)
        1    0.000    0.000    0.000    0.000 header_footer.py:214(HeaderFooter)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _thread_flow_location.py:19(ThreadFlowLocation)
        1    0.000    0.000    0.000    0.000 rust.py:1(<module>)
        1    0.000    0.000    0.001    0.001 equality.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
       16    0.000    0.000    0.000    0.000 plistlib.py:195(handle_begin_element)
        1    0.000    0.000    0.000    0.000 functional_tensor.py:559(BaseFunctionalizeAPI)
        1    0.000    0.000    0.000    0.000 modulefinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dimse_primitives.py:1761(N_ACTION)
        1    0.000    0.000    0.000    0.000 pdu.py:737(A_ASSOCIATE_AC)
        1    0.000    0.000    0.000    0.000 cifar.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _config_module.py:141(__getattr__)
        1    0.000    0.000    0.001    0.001 dense_ndim_array.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _laplacian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 v3_plugin_api.py:45(PluginV3)
        1    0.000    0.000    0.000    0.000 glob.py:105(_glob1)
        3    0.000    0.000    0.000    0.000 _shims.py:154(register_shim)
        1    0.000    0.000    0.000    0.000 _pyio.py:1973(TextIOWrapper)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:201(__rdiv__)
        1    0.000    0.000    0.000    0.000 tifffile.py:15555(StoredShape)
        2    0.000    0.000    0.000    0.000 method.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:634(__init__)
        1    0.000    0.000    0.001    0.001 abstract_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ps_roi_align.py:1(<module>)
       57    0.000    0.000    0.000    0.000 utils.py:1152(__init__)
        1    0.000    0.000    0.000    0.000 continuous_bernoulli.py:20(ContinuousBernoulli)
       12    0.000    0.000    0.000    0.000 typing.py:485(__getattr__)
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 const_fold.py:12(FoldedGraphModule)
        1    0.000    0.000    0.000    0.000 style.py:78(ReSTStyle)
        1    0.000    0.000    0.000    0.000 hmdb51.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patcher.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generate.py:45(__init__)
        2    0.000    0.000    0.000    0.000 realfield.py:63(dtype)
        1    0.000    0.000    0.001    0.001 stringpict.py:1(<module>)
        6    0.000    0.000    0.000    0.000 anonymizer.py:870(<lambda>)
        1    0.000    0.000    0.001    0.001 drawings.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _package_pickler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data_source.py:1(<module>)
        1    0.000    0.000    0.000    0.000 realfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
       14    0.000    0.000    0.000    0.000 ctx_mp_python.py:336(__new__)
       17    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       28    0.000    0.000    0.000    0.000 _internal.py:131(is_off_by_default)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.097    0.097 __init__.py:465(_make_elementwise_unary_prim)
        1    0.000    0.000    0.000    0.000 resnet.py:185(ResNet50_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 lgmres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiler.py:639(record_function)
        1    0.000    0.000    0.000    0.000 _stdlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bernoulli.py:19(Bernoulli)
        1    0.000    0.000    0.000    0.000 selecting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:175(Conv3dNormActivation)
        1    0.000    0.000    0.000    0.000 polynomialring.py:10(PolynomialRing)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tifffile.py:15917(OmeXml)
        1    0.000    0.000    0.000    0.000 _interface.py:55(LinearOperator)
       28    0.000    0.000    0.000    0.000 inspect.py:1187(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:128(_splitdict)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 legend.py:44(Legend)
       24    0.000    0.000    0.000    0.000 _pyio.py:485(_checkClosed)
        1    0.000    0.000    0.000    0.000 filters.py:24(SortCondition)
        1    0.000    0.000    0.000    0.000 visitor.py:100(TreeInterpreter)
        1    0.000    0.000    0.000    0.000 line_chart.py:89(LineChart3D)
        2    0.000    0.000    0.000    0.000 operations.py:590(__init__)
       15    0.000    0.000    0.000    0.000 typing.py:1291(__ror__)
        1    0.000    0.000    0.000    0.000 _linalg.py:47(EighResult)
        1    0.000    0.000    0.000    0.000 ImageStat.py:31(Stat)
        1    0.000    0.000    0.000    0.000 sets.py:1912(FiniteSet)
        1    0.000    0.000    0.000    0.000 maxvit.py:771(MaxVit_T_Weights)
        1    0.000    0.000    0.000    0.000 dataset.py:304(ConcatDataset)
        1    0.000    0.000    0.000    0.000 _artifact.py:17(Artifact)
        1    0.000    0.000    0.000    0.000 _onenormest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:152(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 numeric.py:896(outer)
        1    0.000    0.000    0.000    0.000 features.py:1(<module>)
        1    0.000    0.000    0.000    0.000 header_footer.py:53(_HeaderFooterPart)
        1    0.000    0.000    0.000    0.000 core.py:142(MaskedTensor)
        1    0.000    0.000    0.000    0.000 matexpr.py:739(_LeftRightArgs)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctk_tabview.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gumbel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       70    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        4    0.000    0.000    0.000    0.000 feedparser.py:69(close)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 executor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formal.py:974(FormalPowerSeries)
        1    0.000    0.000    0.000    0.000 polygon.py:2053(Triangle)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       20    0.000    0.000    0.000    0.000 _internal.py:847(_clear_handlers)
        6    0.000    0.000    0.000    0.000 bessel.py:835(assume_integer_order)
        8    0.000    0.000    0.000    0.000 kind.py:43(__new__)
        2    0.000    0.000    0.000    0.000 ordinals.py:81(__new__)
        1    0.000    0.000    0.000    0.000 formatting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 instancenorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _triton.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _osx_support.py:117(_get_system_version_tuple)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 profiler.py:449(profile)
        1    0.000    0.000    0.000    0.000 _internally_replaced_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _contextlib.py:1(<module>)
        8    0.000    0.000    0.000    0.000 random.py:44(deco_stream)
        1    0.000    0.000    0.002    0.002 _run.py:1(<module>)
        1    0.000    0.000    0.000    0.000 styleable.py:115(StyleableObject)
        1    0.000    0.000    0.000    0.000 kinetics.py:23(Kinetics)
        1    0.000    0.000    0.000    0.000 trigonometric.py:553(cos)
        1    0.000    0.000    0.000    0.000 resnet.py:322(R3D_18_Weights)
        1    0.000    0.000    0.000    0.000 visitor.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _pyio.py:1315(close)
        2    0.000    0.000    0.000    0.000 kind.py:287(_)
        1    0.000    0.000    0.000    0.000 ordinals.py:1(<module>)
        5    0.000    0.000    0.000    0.000 transforms.py:242(make_wrapper)
        1    0.000    0.000    0.000    0.000 _csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common_rules.py:1(<module>)
      116    0.000    0.000    0.000    0.000 extensions.py:2002(<lambda>)
        1    0.000    0.000    0.000    0.000 effect.py:241(OuterShadow)
        1    0.000    0.000    0.000    0.000 cityscapes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1266(ZipFile)
        1    0.000    0.000    0.000    0.000 _script.py:594(RecursiveScriptModule)
        1    0.000    0.000    0.000    0.000 _mode_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2017(Wm)
        1    0.000    0.000    0.000    0.000 convnext.py:209(ConvNeXt_Tiny_Weights)
       24    0.000    0.000    0.000    0.000 ctx_iv.py:397(make_mpf)
        1    0.000    0.000    0.000    0.000 _csc.py:17(_csc_base)
        1    0.000    0.000    0.000    0.000 complexes.py:265(sign)
        1    0.000    0.000    0.000    0.000 tensor_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mathematica.py:123(MCodePrinter)
        1    0.000    0.000    0.000    0.000 matmul.py:24(MatMul)
        1    0.000    0.000    0.000    0.000 combsimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lists.py:726(RestrictedListSubclassVariable)
       58    0.000    0.000    0.000    0.000 _utils.py:841(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:1228(resolve)
       38    0.000    0.000    0.000    0.000 observer.py:54(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:982(setLevel)
        2    0.000    0.000    0.000    0.000 numbers.py:404(__float__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:337(ColorChoice)
        1    0.000    0.000    0.000    0.000 _traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cnf.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sparsetools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fcn.py:60(FCN_ResNet50_Weights)
        1    0.000    0.000    0.000    0.000 response.py:540(HTTPResponse)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distributed_c10d.py:83(_export_c_types)
        1    0.000    0.000    0.000    0.000 line_chart.py:50(LineChart)
        1    0.000    0.000    0.000    0.000 numpy.py:35(NumPyPrinter)
        3    0.000    0.000    0.000    0.000 intfunc.py:162(igcd)
        1    0.000    0.000    0.001    0.001 elliptic_integrals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polygon.py:28(Polygon)
        1    0.000    0.000    0.000    0.000 polyfill.py:1(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1067(SchemaKind)
        1    0.000    0.000    0.000    0.000 ctk_font.py:12(CTkFont)
        3    0.000    0.000    0.000    0.000 _common.py:426(memoize)
        1    0.000    0.000    0.000    0.000 table.py:248(PivotHierarchy)
        3    0.000    0.000    0.000    0.000 _pyio.py:1037(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 mnist.py:343(QMNIST)
       31    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 distribution.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boolalg.py:64(Boolean)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:365(cosh)
        1    0.000    0.000    0.000    0.000 rootoftools.py:1048(RootSum)
        3    0.000    0.000    0.000    0.000 device_interface.py:22(__new__)
        1    0.000    0.000    0.000    0.000 categorical.py:11(Categorical)
        1    0.000    0.000    0.000    0.000 gtk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ps_roi_pool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decomposition_table.py:1(<module>)
        1    0.000    0.000    0.000    0.000 keypoint_rcnn.py:320(KeypointRCNN_ResNet50_FPN_Weights)
       45    0.000    0.000    0.000    0.000 ctx_iv.py:394(<lambda>)
        1    0.000    0.000    0.000    0.000 combinatorics.py:15(ShufflerIterDataPipe)
        1    0.000    0.000    0.000    0.000 _region.py:16(Region)
        1    0.000    0.000    0.000    0.000 efficientnet.py:439(EfficientNet_B0_Weights)
        1    0.000    0.000    0.000    0.000 title.py:1(<module>)
        1    0.000    0.000    0.000    0.000 device_mesh.py:62(_MeshEnv)
        1    0.000    0.000    0.000    0.000 __init__.py:176(CudnnModule)
        1    0.000    0.000    0.002    0.002 _location.py:1(<module>)
        2    0.000    0.000    0.000    0.000 trace_rules.py:2951(__call__)
        1    0.000    0.000    0.000    0.000 _helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trace_rules.py:2935(FunctionIdSet)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 proxy.py:8(StyleProxy)
        1    0.000    0.000    0.000    0.000 protection.py:136(FileSharing)
        1    0.000    0.000    0.000    0.000 timeit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 code_template.py:14(CodeTemplate)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        3    0.000    0.000    0.011    0.004 trace_rules.py:3325(_recompile_re)
        1    0.000    0.000    0.000    0.000 _testutils.py:145(_TestPythranFunc)
        1    0.000    0.000    0.000    0.000 ctk_progressbar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:61(Hyperlink)
        1    0.000    0.000    0.000    0.000 profiler.py:1037(KinetoStepTracker)
        1    0.000    0.000    0.000    0.000 ctk_switch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trendline.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _result.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vision_transformer.py:562(ViT_H_14_Weights)
        1    0.000    0.000    0.000    0.000 export.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1139(_BaseV4)
        1    0.000    0.000    0.000    0.000 stock_chart.py:18(StockChart)
        1    0.000    0.000    0.000    0.000 table.py:690(FieldItem)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:432(__init__)
        1    0.000    0.000    0.000    0.000 matcher_utils.py:34(InternalMatch)
        1    0.000    0.000    0.000    0.000 resnet.py:223(ResNeXt101_32X8D_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 _linalg.py:51(QRResult)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _validators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:146(Text)
        1    0.000    0.000    0.000    0.000 translate.py:33(Translator)
        1    0.000    0.000    0.000    0.000 join.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _async.py:1(<module>)
        1    0.000    0.000    0.001    0.001 socks.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:110(_getuserbase)
        9    0.000    0.000    0.000    0.000 optimizer.py:123(_disable_dynamo_if_unsupported)
        1    0.000    0.000    0.000    0.000 caltech.py:1(<module>)
        5    0.000    0.000    0.000    0.000 numbers.py:1591(__eq__)
        1    0.000    0.000    0.000    0.000 tifffile.py:17018(DATATYPE)
        1    0.000    0.000    0.000    0.000 _stereo_matching.py:25(StereoMatchingDataset)
        6    0.000    0.000    0.000    0.000 constraints.py:204(__init__)
        1    0.000    0.000    0.000    0.000 _memory_profiler.py:216(SchemaMatcher)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        1    0.000    0.000    0.000    0.000 symbolic.py:157(Expr)
        1    0.000    0.000    0.000    0.000 plotarea.py:41(DataTable)
        1    0.000    0.000    0.000    0.000 scatter_chart.py:21(ScatterChart)
        1    0.000    0.000    0.000    0.000 fractions.py:186(__new__)
        1    0.000    0.000    0.000    0.000 ctx_fp.py:18(__init__)
        1    0.000    0.000    0.000    0.000 algebraicfield.py:14(AlgebraicField)
        1    0.000    0.000    0.000    0.000 polysys.py:1(<module>)
        1    0.000    0.000    0.000    0.000 user_defined.py:70(UserDefinedClassVariable)
        1    0.000    0.000    0.000    0.000 profiler.py:70(_KinetoProfile)
        4    0.000    0.000    0.000    0.000 _pyio.py:1749(close)
        1    0.000    0.000    0.000    0.000 exponential.py:1115(LambertW)
        1    0.000    0.000    0.000    0.000 readers.py:17(__init__)
        1    0.000    0.000    0.000    0.000 ctk_font.py:1(<module>)
        1    0.000    0.000    0.000    0.000 independent.py:12(Independent)
        1    0.000    0.000    0.000    0.000 dataframe_wrapper.py:26(PandasWrapper)
        1    0.000    0.000    0.000    0.000 split_utils.py:35(Component)
        1    0.000    0.000    0.000    0.000 normalforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 homomorphisms.py:18(ModuleHomomorphism)
        2    0.000    0.000    0.000    0.000 tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:209(JvpIncrementNestingCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 replay_record.py:28(ExecutionRecord)
        1    0.000    0.000    0.000    0.000 ctk_image.py:8(CTkImage)
        1    0.000    0.000    0.000    0.000 comm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sqrtdenest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        2    0.000    0.000    0.000    0.000 structures.py:1(<module>)
       27    0.000    0.000    0.000    0.000 pretty_symbology.py:122(<genexpr>)
       11    0.000    0.000    0.000    0.000 functools.py:355(__init__)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
        1    0.000    0.000    0.000    0.000 numeric.py:65(zeros_like)
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 paginate.py:1(<module>)
        2    0.000    0.000    0.000    0.000 load_config_py3.py:6(exec_file_wrapper)
        1    0.000    0.000    0.000    0.000 hmdb51.py:13(HMDB51)
        1    0.000    0.000    0.000    0.000 array_comprehension.py:10(ArrayComprehension)
        1    0.000    0.000    0.000    0.000 ctk_radiobutton.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uid.py:50(UID)
        2    0.000    0.000    0.000    0.000 mpelements.py:94(_make_tol)
        1    0.000    0.000    0.000    0.000 exponential.py:607(log)
        1    0.000    0.000    0.000    0.000 numbers.py:418(bernoulli)
        1    0.000    0.000    0.000    0.000 glsl.py:30(GLSLPrinter)
        1    0.000    0.000    0.000    0.000 dicts.py:578(DataClassVariable)
        1    0.000    0.000    0.000    0.000 regnet.py:815(RegNet_Y_128GF_Weights)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connector.py:114(Shape)
        1    0.000    0.000    0.000    0.000 maxvit.py:568(MaxVit)
        1    0.000    0.000    0.000    0.000 ucf101.py:12(UCF101)
       32    0.000    0.000    0.000    0.000 decorators.py:184(sympify_return)
        1    0.000    0.000    0.000    0.000 spreadsheet_drawing.py:81(_AnchorBase)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 inaturalist.py:1(<module>)
        3    0.000    0.000    0.000    0.000 libmpf.py:59(prec_to_dps)
        2    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:328(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 ctk_input_dialog.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getpass.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lazy_graph_module.py:62(_LazyGraphModule)
        1    0.000    0.000    0.000    0.000 _csr.py:18(_csr_base)
        1    0.000    0.000    0.000    0.000 parabola.py:1(<module>)
        1    0.000    0.000    0.000    0.000 value_ranges.py:888(ValueRangeAnalysis)
        1    0.000    0.000    0.000    0.000 _helpers.py:1(<module>)
        7    0.000    0.000    0.000    0.000 core.py:2600(_arraymethod)
        1    0.000    0.000    0.004    0.004 _freeze.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 jscode.py:46(JavascriptCodePrinter)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
        1    0.000    0.000    0.000    0.000 geometry.py:306(Shape3D)
        1    0.000    0.000    0.000    0.000 bubble_chart.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:368(__new__)
        1    0.000    0.000    0.000    0.000 pivot.py:37(PivotFormat)
        6    0.000    0.000    0.000    0.000 sym_node.py:1214(_make_node_sizes_strides)
        1    0.000    0.000    0.000    0.000 _norm.py:1(<module>)
       26    0.000    0.000    0.000    0.000 functions.py:39(_record_signature)
        1    0.000    0.000    0.001    0.001 _write_only.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.000    0.000 phototour.py:13(PhotoTour)
        1    0.000    0.000    0.000    0.000 _register_onnx_ops.py:103(_register_custom_op)
        1    0.000    0.000    0.000    0.000 symbolic_shapes.py:1088(EqualityConstraint)
