         3094082 function calls (3033718 primitive calls) in 4.473 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2782/17    0.005    0.000    0.327    0.019 <frozen importlib._bootstrap>:911(_load_unlocked)
      131    0.005    0.000    0.007    0.000 library.py:87(define)
     2251    0.004    0.000    0.010    0.000 enum.py:390(__setitem__)
      349    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
    30774    0.004    0.000    0.004    0.000 assumptions.py:489(as_property)
     4082    0.004    0.000    0.004    0.000 {built-in method torch._C._get_schema}
    20724    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
      421    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
  6597/29    0.004    0.000    0.323    0.011 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2782    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
     1872    0.004    0.000    0.033    0.000 _ops.py:997(__getattr__)
     1409    0.004    0.000    0.081    0.000 dataclasses.py:449(_create_fn)
    33562    0.004    0.000    0.004    0.000 _parser.py:240(__next)
      419    0.004    0.000    0.004    0.000 utils.py:110(is_tensorlist_like_type)
     1547    0.004    0.000    0.005    0.000 _ops.py:101(inner)
     2975    0.004    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2780    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     7370    0.003    0.000    0.006    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
42924/41764    0.003    0.000    0.004    0.000 {built-in method builtins.hash}
    22894    0.003    0.000    0.003    0.000 {method 'get' of 'mappingproxy' objects}
    24004    0.003    0.000    0.007    0.000 {built-in method builtins.all}
4715/1223    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
     2673    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     5346    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     7539    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:74(__new__)
  2656/17    0.003    0.000    0.327    0.019 <frozen importlib._bootstrap_external>:989(exec_module)
     4517    0.003    0.000    0.038    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    18749    0.003    0.000    0.003    0.000 {method 'partition' of 'str' objects}
      264    0.003    0.000    0.022    0.000 enum.py:528(__new__)
     1750    0.003    0.000    0.003    0.000 {built-in method torch._C._dispatch_has_kernel}
    24069    0.003    0.000    0.005    0.000 <frozen posixpath>:41(_get_sep)
     5904    0.003    0.000    0.003    0.000 inspect.py:3072(<genexpr>)
      415    0.003    0.000    0.010    0.000 __init__.py:23(__new__)
    61/19    0.003    0.000    0.535    0.028 _ops.py:279(py_impl)
 1585/342    0.003    0.000    0.056    0.000 _parser.py:452(_parse_sub)
     7539    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:79(__init__)
     1248    0.003    0.000    0.048    0.000 typing.py:694(Union)
     8019    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     6403    0.003    0.000    0.006    0.000 {built-in method builtins.max}
      360    0.003    0.000    0.095    0.000 inspect.py:988(getmodule)
39673/39672    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
     1370    0.003    0.000    0.007    0.000 dataclasses.py:760(_get_field)
 3171/953    0.003    0.000    0.514    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       89    0.003    0.000    0.016    0.000 conflict.py:24(ambiguities)
    24248    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
2799/2787    0.003    0.000    0.326    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1740    0.003    0.000    0.004    0.000 inspect.py:176(get_annotations)
     3051    0.003    0.000    0.014    0.000 valuerep.py:223(validate_length_and_type_and_regex)
        2    0.003    0.001    0.003    0.001 {built-in method posix.read}
    25692    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
      213    0.003    0.000    0.004    0.000 {built-in method _io.open}
    25692    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
        1    0.002    0.002    0.017    0.017 {built-in method torch._C._initExtension}
     7539    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:82(remove)
     3075    0.002    0.000    0.019    0.000 uid.py:70(__new__)
     7495    0.002    0.000    0.017    0.000 __init__.py:164(match)
    15186    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.002    0.002    0.002    0.002 {built-in method torch._C._c10d_init}
